TAG number,Equipment Description
13-01-015,1ST STAGE DECOMPOSTION THICKNER DISCHARGE PUMP #15
13-01-016,1ST STAGE DECOMPOSTION THICKNER DISCHARGE PUMP #16
13-01-017 (VFD),CARNALITE RE-PULP TANK PUMP #17
13-01-018 (VFD),CARNALITE RE-PULP TANK PUMP #18
13-01-031 (VFD),WASH THECKENER U/F #31 (VFD)
13-01-032,WASH THICKNER U/F PUMP #32
13-01-033 (VFD),CARNALITE THICKNER U/F PUMP #33 (VFD)
13-01-034,CARNALITE THICKNER U/F PUMP #34
13-01-035,1ST STAGE DECOMPOSTION THICKNER U/F PUMP #35
13-01-036,1ST STAGE DECOMPOSTION THICKNER U/F PUMP #36
13-01-037 (VFD),WASH THECKENER U/F #37 (VFD)
13-01-038 (VFD),CARNALITE THICKNER U/F PUMP #38 (VFD)
13-01-039,1ST STAGE DECOMPOSTION THICKNER U/F PUMP #39 
13-01-044,1ST STAGE DECOMPOSTION THICKNER O/F PUMP #44
13-01-045,1ST STAGE DECOMPOSTION THICKNER O/F PUMP #45
13-01-046,WASH THICKNER O/F PUMP #46
13-01-047,WASH THICKNER O/F PUMP #47
13-01-051,SYLVNITE THICKNER U/F PUMP #51 
13-01-052,SYLVNITE THICKNER U/F PUMP #52 
13-01-061,SYLVNITE THICKNER O/F PUMP #61 
13-01-062,SYLVNITE THICKNER O/F PUMP #62 
13-01-071,SYLVANITE FILTER FEED PUMP #71
13-01-072,SYLVANITE FILTER FEED PUMP #72
13-01-073 (VFD),SYLVANITE FILTER FEED PUMP #73 (VFD)
13-01-074 (VFD),SYLVANITE FILTER FEED PUMP #74 (VFD)
13-01-075,VIBRATING SCREEN FEED PUMP #75 
13-01-076,VIBRATING SCREEN FEED PUMP #76 
13-01-077 (VFD),VIBRATING SCREEN OVERSIZE PUMP #77 (VFD)
13-01-078 (VFD),VIBRATING SCREEN OVERSIZE PUMP #78 (VFD)
13-01-082 (VFD),WASH THICKENER REPULP PUMP #82
13-01-083 (VFD),WASH THICKENER REPULP PUMP #83
13-01-084,FLUSHING WATER PUMP AT DEWATRING CENTRIFUGE AREA
13-01-093 (VFD),SYLVANITE 2 ND FILTRATE PUMP #93 (VFD)
13-01-094 (VFD),SYLVANITE 2 ND FILTRATE PUMP #94 (VFD)
13-01-103,SUMP PUMP #103
13-01-104,SUMP PUMP #104
13-01-105,SUMP PUMP #105
13-01-106,SUMP PUMP #106
13-01-111 (VFD),CARNALLITE SURGE TANK PUMP #111
13-01-112 (VFD),CARNALLITE SURGE TANK PUMP #112
13-01-113 (VFD),CARNALLITE SURGE TANK PUMP #113
13-01-114 (VFD),CARNALLITE SURGE TANK PUMP #114
13-01-115,STONE REMOVAL REPULP TANK PUMP #115
13-01-116,STONE REMOVAL REPULP TANK PUMP #116
13-01-117,STONE REMOVAL REPULP TANK PUMP #117
13-01-141 (VFD),BUFFER TANK PUMP MOTOR #141
13-01-142 (VFD),BUFFER TANK PUMP MOTOR #142
13-01-143 (VFD),THICKENER PUMP MOTOR #143
13-01-144 (VFD),THICKENER PUMP MOTOR #144
13-01-145 (VFD),HOTWELL#2 PUMP MOTOR #145
13-01-146 (VFD),HOTWELL#2 PUMP MOTOR #146
13-01-147 (VFD),HOTWELL#2 PUMP MOTOR #147
13-01-151 (VFD),HOT BRINE PUMP #151 (VFD)
