TAG number,Equipment Description
14-01-001A (VFD),NEW COOLER PUMP #01A (VFD)
14-01-001B (VFD),NEW COOLER PUMP #02B (VFD)
14-01-071,SCREEN SUMP PUMP
14-01-201,DUST WATER DILUTION TANK PUMP #01
14-01-301,DUST WATER DILUTION TANK PUMP #02
14-02-501,AIR COMPRESSOR FOR NEW COOLER SYSTEM #01
14-02-502,AIR COMPRESSOR FOR NEW COOLER SYSTEM #02
14-02-503,AIR COMPRESSOR FOR NEW COOLER SYSTEM #03
14-02-511,AIR COMPRESSOR FOR NEW DRYER DE DUSTING SYSTEM #01
14-02-512,AIR COMPRESSOR FOR NEW DRYER DE DUSTING SYSTEM #02
14-03-020-01 (VFD),ID FAN MOTOR #01 (VFD)
14-03-020-02 (VFD),ID FAN MOTOR #02 (VFD)
14-03-031 (VFD),DRYER DILUTION FAN #31 (VFD)
14-03-032 (VFD),DRYER DILUTION FAN #32 (VFD)
14-03-050,SCRUBER FAN #50
14-03-060,EXHAUST FAN #01 (MO1) / SCREEN 
14-03-070,EXHAUST FAN #02 (MO2) / COMPACTION 
14-03-080,EXHAUST FAN #01  (MO6) / SHIPPING 
14-03-090, EXHAUST FAN #01 / WAREHOUSE 
14-03-100,EXHAUST FAN #02 / WAREHOUSE
14-03-202-01,COOLER BAGHOUSE EXHAUST FAN #01
14-03-202-02,COOLER BAGHOUSE EXHAUST FAN #02
14-03-501, NEW COMBUSTION AIR FAN #501
14-03-502, NEW COMBUSTION AIR FAN #502
14-03-601,COOLER SUPPLY AIR FAN #601
14-03-602,COOLER SUPPLY AIR FAN #602
14-03-603,COOLER SUPPLY AIR FAN #603
14-05-010,NEW DISSOLVING TANK AT LOADING DE-DUSTING SYSTEM
14-05-201,DUST WATER DILUTION TANK - AGITATORS #201
14-05-301,DUST WATER DILUTION TANK - AGITATORS #301
14-15-020-01(STARTER),VIBRATORSB AND LIVE BOTTOMS
14-15-080-01(STARTER),VIBRATORSB AND LIVE BOTTOMS
14-15-080-02(STARTER),VIBRATORSB AND LIVE BOTTOMS
14-15-090-01,VIBRATORSB AND LIVE BOTTOMS
14-15-090-02,VIBRATORSB AND LIVE BOTTOMS
14-15-100,"SHIPPING BIN CHUTE ""TELESCOPING SYSTEM"" ""EAST"""
14-15-100-01,#01 SHIPPING BIN CHUTE - Vibrator#01
14-15-100-02,#01 SHIPPING BIN CHUTE - Vibrator#02
14-15-100-03,#01 SHIPPING BIN CHUTE - Vibrator#03
14-15-110,"SHIPPING BIN CHUTE ""TELESCOPING SYSTEM"" ""MIDDLE"""
14-15-110-01,#02 SHIPPING BIN CHUTE - Vibrator#01
14-15-110-02,#02 SHIPPING BIN CHUTE - Vibrator#02
14-15-110-03,#02 SHIPPING BIN CHUTE - Vibrator#03
14-15-120,"SHIPPING BIN CHUTE ""TELESCOPING SYSTEM"" ""WEST"""
14-15-120-01,#03 SHIPPING BIN CHUTE - Vibrator#01
14-15-120-02,#03 SHIPPING BIN CHUTE - Vibrator#02
14-15-120-03,#03 SHIPPING BIN CHUTE - Vibrator#03
14-15-390,DISSOLVING MAIN HOPPER VIBRATOR
14-15-400,DISSOLVING SCREEN SHUTE VIBRATOR
14-25-001,PRIMARY FUEL SKID PUMP #01
14-25-002,PRIMARY FUEL SKID PUMP #02
14-25-003,SECONDARY FUEL SKID PUMP #01
14-25-004,SECONDARY FUEL SKID PUMP #02
14-25-510-01,ROTARY DRYER DRIVE
14-25-510-02,AUX. DRYER MOTOR 
14-25-510-03,BURNER CARRIAGE (TROLLEY) MOTOR
14-25-510-04,DRYER THRUSTER RELEASED DRUM BREAK
14-26-014,NEW CRUSHER SCREEN MOTOR
14-28-001,ROTEX SCREEN #01
14-28-002,ROTEX SCREEN #02
14-28-003,ROTEX SCREEN #03
14-28-010,DISSOLVING SCREEN
14-29-010,COLLECTING CONVEYOR BELT #10 MOTOR 
14-29-020,SHIPPING CONVEYOR BELT #20
14-29-030,STORAGE CONVEYOR BELT#30
14-29-040,RECLAIM CONVEYOR BELT #40  
14-29-050,RECLAIM CONVEYOR BELT #50
14-29-060,RECLAIM CONVEYOR BELT #60
14-29-070,RECLAIM CONVEYOR BELT #70
14-29-081,TRIPPER DRIVE MOTOR
14-29-081-TROLLEY,TRIPPER DRIVE MOTOR
14-29-081-WHEEL,TRIPPER DRIVE MOTOR
14-29-090,DISSOLVING BELT CONEYOR #02 / MOBILE BELT
14-29-100,DISSOLVING BELT CONEYOR #01 / LONG BELT
14-29-120M1,Fresh feed KCL fines/dust belt conveyor main drive
14-29-120M2,Fresh feed KCL fines/dust belt conveyor cleaning drive
14-29-200M1,Fresh feed KCL fines/dust belt conveyor main drive
14-29-200M2,Fresh feed KCL fines/dust belt conveyor cleaning drive
14-30-001,ANTICACKING MIXER
14-30-002,NEW SCREW CONVEYOR OF WAREHOUSE & SHIPPING DE-DUSTING BAGHOUSES.
14-30-040,COOLER CHAIN CONVYOR WITH SCLAPING SCREEN #60 
14-30-050,SCREW CONVEYOR #50
14-30-170,FINE PRODUCT SCREW CONVEYOR #170
14-30-180,COMPACTION FEED BIN SCREW CONVEYOR #180
14-30-181 (VFD) AC (YARA),COMPACTION FEED BIN SCREW CONVEYOR ANTICAKING SYSTEM #181 (VFD) AC
